SEP=,
Artist,Title,IsDuet,HasCoverImage,HasBackgroundImage,HasVideo
Disney,I Won't Say (I'm in Love),false,true,true,true
Disney's Frozen,For the first time in forever,false,true,true,true
Disneys Frozen,Do You Wanna Build a Snowman,false,true,true,true
Disneys Frozen,Let It Go,false,true,true,true
Disneys Frozen,Love Is an Open Door,false,true,true,true
Disneys Hercules,Go the Distance,false,true,true,true
Disneys Mulan,Honor To Us All,false,true,true,true
Disneys Pocahontas,Colours Of The Wind,false,true,true,true
Disneys Tangled,I See the Light,false,true,true,true
Disneys Tangled,I've Got a Dream,false,true,true,true
Dj Snake feat. Justin Bieber,Let Me Love You,false,true,true,true
Don Omar & Lucenzo,Danza Kuduro,false,true,true,true
Drake feat. Wizkid & Kyla,One Dance,false,true,true,true
Dua Lipa & Angcle,Fever,false,true,true,true
Dua Lipa,Break My Heart,false,true,true,true
Dua Lipa,Don't Start Now,false,true,true,true
Dua Lipa,New Rules,false,true,true,true
Dua Lipa Ft. Da Baby,Levitating,false,true,true,true
Ed Sheeran,Bad habits,false,true,true,true
Ed Sheeran,Galway Girl,false,true,true,true
Ed Sheeran,I See Fire,false,true,true,true
Ed Sheeran,Lego House,false,true,true,true
Ed Sheeran,Photograph,false,true,true,true
Ed Sheeran,Shape Of You [VIDEO],false,true,true,true
Ed Sheeran,The A Team,false,true,true,true
Ed Sheeran,Thinking Out Loud,false,true,true,true
Ed Sheeran feat. Justin Bieber,I Don't Care,false,true,true,true
Ed Sheeran feat. Taylor Swift,The Joker and the Queen,false,true,true,true
Ed Sheeran ft. Khalid,Beautiful People,false,true,true,true
Ellie Goulding,Burn,false,true,true,true
Ellie Goulding,Love Me Like You Do,false,true,true,true
Ellie Goulding,On My Mind,false,true,true,true
Ellie Goulding,Something In The Way You Move,false,true,true,true
"Elton John, Dua Lipa",Cold Heart,false,true,true,true
Eminem,Lose Yourself,false,true,true,true
Eminem feat Rihanna,Love The Way You Lie,false,true,true,true
Eminem feat. Rihanna,The Monster,false,true,true,true
Enrique Iglesias feat. Pitbull,I Like It,false,true,true,true
Enrique Iglesias feat. Wisin,Duele El Corazon,false,true,true,true
Eurythmics,Sweet Dreams,false,true,true,true
Evanescence,Bring Me to Life,true,true,true,true
Evanescence,Bring Me to Life,false,true,true,true
Evanescence,My Immortal (Band Version),false,true,true,true
Evanescence,My Inmortal,false,true,true,true
Fall Out Boy,Thnks Fr Th Mmrs,false,true,true,true
Feest Dj Maarten,Mama Laudaaa,false,true,true,true
Fergie,Big Girls Don't Cry,false,true,true,true
Fifth Harmony,Sledgehammer,false,true,true,true
Fifth Harmony feat. Kid Ink,Worth It,false,true,true,true
Fifth Harmony feat. Ty Dolla $ign,Work From Home,false,true,true,true
Flo Rida,Good Feeling,false,true,true,true
